unique_id,cluster,full_name,first_and_surname,first_name,surname,dob,birth_place,postcode_fake,gender,occupation
Q5537791-4,Q5537791,george chalmers,george chalmers,george,chalmers,1720-01-01,edinburgh,,male,painter
Q5537791-5,Q5537791,sir georgie chalmers,sir chalmers,sir,chalmers,1720-11-01,edinburgh,,,
Q5537791-6,Q5537791,george chalmers,george chalmers,george,chalmers,1720-01-01,city of edinburgh,eh2 2ah,male,
Q5537791-7,Q5537791,george chalmers,george chalmers,george,chalmers,,edinburgh,,,painter
Q5537791-8,Q5537791,georgie chalmers,georgie chalmers,georgie,chalmers,1720-01-01,edinburgh,eh2 2ah,male,
Q5537791-9,Q5537791,sir georgina chalmers,sir chalmers,sir,chalmers,1721-01-01,edinburgh,eh2 2ah,male,
Q21288905-1,Q21288905,frank laing,frank laing,frank,laing,1862-01-01,wirral,ch62 3qq,male,painter
Q21288905-2,Q21288905,frank laing,frank laing,frank,laing,1862-01-01,wirral,ch62 3qq,male,painter
Q21288905-3,Q21288905,frank laing,frank laing,frank,laing,1862-01-01,wirral,ch62 3qq,male,painter
Q21288905-4,Q21288905,frank laing,frank laing,frank,laing,1862-01-02,wirral,,male,painter
Q21288905-5,Q21288905,laing,laing,laing,,1862-01-01,,ch62 3ph,male,painter
Q21288905-6,Q21288905,francis lang,francis lang,francis,lang,,wirral,,male,painter
Q21288905-7,Q21288905,frank laing,frank laing,frank,laing,,wirral,ch62 3qq,male,painter
Q21288905-8,Q21288905,frank laing,frank laing,frank,laing,,wirral,ch62 3qq,male,painter
Q21288905-9,Q21288905,francis lang,francis lang,francis,lang,,wirral,ch62 3qq,male,painter
Q6225744-1,Q6225744,john charles durant,john durant,john,durant,1846-07-15,cardiff,cf10 4ee,male,politician
Q6225744-2,Q6225744,john durant,john durant,john,durant,1846-07-15,cardiff,cf10 4ee,male,politician
Q6225744-3,Q6225744,john durand,john durand,john,durand,1846-07-15,cardiff,cf10 4ee,male,politician
Q6225744-4,Q6225744,jackie charlie duran,jackie duran,jackie,duran,1846-07-15,cardiff,cf10 4ee,female,politician
Q6225744-5,Q6225744,john charles durant,john durant,john,durant,,cardiff,cf10 4ee,male,politician
Q6225744-6,Q6225744,ian durant,ian durant,ian,durant,,,cf10 4ee,male,politician
Q6225744-7,Q6225744,john chad duran,john duran,john,duran,1846-07-15,cardiff,cf10 4ee,male,politician
Q6225744-8,Q6225744,jack durand,jack durand,jack,durand,,,cf10 4ee,,
Q6225744-9,Q6225744,john charles durand,john durand,john,durand,1846-07-15,butetown,cf20 4ee,,
Q2426857-1,Q2426857,thomas robinson,thomas robinson,thomas,robinson,1560-01-01,leeds,ls6 3pl,male,
Q2426857-2,Q2426857,thomas robinson,thomas robinson,thomas,robinson,1560-01-01,leeds,ls6 3pl,male,
Q2426857-3,Q2426857,thomas robinson,thomas robinson,thomas,robinson,1560-01-01,leeds,ls6 3pl,male,
Q2426857-4,Q2426857,tom robinson,tom robinson,tom,robinson,1560-01-01,leeds,,male,
Q2426857-5,Q2426857,tjomas robinson,tjomas robinson,tjomas,robinson,1560-11-01,leeds,,,
Q2426857-6,Q2426857,thomaw robinson,thomaw robinson,thomaw,robinson,,,,male,
Q3285335-1,Q3285335,mancherjee bhownagree,mancherjee bhownagree,mancherjee,bhownagree,1851-08-15,mumbai,dn37 0fd,male,
Q3285335-2,Q3285335,mancherjee bhownagree,mancherjee bhownagree,mancherjee,bhownagree,1851-08-15,mumbai,dn37 0fd,male,
Q3285335-3,Q3285335,mancherjee bhownagree,mancherjee bhownagree,mancherjee,bhownagree,1851-08-15,mumbai,dn37 0fd,male,
Q3285335-4,Q3285335,mancherjee bhownagree,mancherjee bhownagree,mancherjee,bhownagree,1851-08-15,mumbai,dn37 0fd,male,
Q3285335-5,Q3285335,mancherjee bhownagree,mancherjee bhownagree,mancherjee,bhownagree,1851-08-15,mumbai,dn37 0fd,male,
Q3285335-6,Q3285335,mancherji bhownagri,mancherji bhownagri,mancherji,bhownagri,1851-08-15,mumbai,dn37 0fd,male,
Q3285335-7,Q3285335,mancherjee bhownagree,mancherjee bhownagree,mancherjee,bhownagree,1851-08-15,mumbai,dn31 2sw,male,
Q3285335-8,Q3285335,sir mancherji bhownagri,sir bhownagri,sir,bhownagri,1851-08-12,mumbai,dn37 0fd,male,
Q3285335-9,Q3285335,mancherji bhownagri,mancherji bhownagri,mancherji,bhownagri,1851-08-45,mumbai,,male,
Q3285335-10,Q3285335,mancherji bhownagri,mancherji bhownagri,mancherji,bhownagri,1851-08-15,mumbai,dn37 0fd,male,
Q3285335-11,Q3285335,mancherjee bhownagree,mancherjee bhownagree,mancherjee,bhownagree,1821-08-15,mumbai,,male,
Q3285335-12,Q3285335,mancherjee bhownagree,mancherjee bhownagree,mancherjee,bhownagree,1851-08-15,india,dn37 0pt,male,
Q3285335-13,Q3285335,mancherjee,mancherjee,mancherjee,,1851-08-15,mumbai,,male,
Q3285335-14,Q3285335,mancherjee bhownagree,mancherjee bhownagree,mancherjee,bhownagree,1851-08-15,mumbai,dn37 0fd,male,
Q3285335-15,Q3285335,mancherji bhownagri,mancherji bhownagri,mancherji,bhownagri,,mumbai,,male,
Q3285335-16,Q3285335,mancherji bhownagri,mancherji bhownagri,mancherji,bhownagri,1857-08-15,mumbai,dn37 0fd,,
Q3285335-17,Q3285335,bhownagri,bhownagri,bhownagri,,1851-06-15,mumbai,,,
Q3285335-18,Q3285335,mancherjee vhownagree,mancherjee vhownagree,mancherjee,vhownagree,,,dn37 0fd,male,
Q3809624-1,Q3809624,john smith,john smith,john,smith,1855-08-12,mauchline,ka5 5st,male,association football player
Q3809624-2,Q3809624,john smith,john smith,john,smith,1855-08-72,mauchline,ka5 5st,male,association football player
Q3809624-3,Q3809624,dr john smith,dr smith,dr,smith,1855-08-12,,,,association football referee
Q3809624-4,Q3809624,ian smyth,ian smyth,ian,smyth,1865-08-12,mauchline,,,
Q18593464-1,Q18593464,robert thorburn,robert thorburn,robert,thorburn,1818-01-01,dumfries,dg2 7rs,male,painter
Q18593464-2,Q18593464,bert thorburn,bert thorburn,bert,thorburn,1818-01-01,dumfries,dg3 7rs,male,painter
Q18593464-3,Q18593464,robby thorburn,robby thorburn,robby,thorburn,1818-01-01,dumfries,dg2 7rs,male,painter
Q18593464-4,Q18593464,robert thorburn,robert thorburn,robert,thorburn,1818-01-01,dumfries,,male,
Q18593464-5,Q18593464,robert thorburh,robert thorburh,robert,thorburh,1818-01-01,dumfries,dg2 0jq,male,painter
Q18593464-6,Q18593464,rupert thorburn,rupert thorburn,rupert,thorburn,1808-01-01,dumfries,dg2 7rs,male,painter
Q18593464-7,Q18593464,robby thorburn,robby thorburn,robby,thorburn,1818-01-01,dumfries,dg2 7rs,male,painter
Q18593464-8,Q18593464,bobby thorburn,bobby thorburn,bobby,thorburn,1818-01-04,dumfries,dg2 7rs,,
Q18593464-9,Q18593464,thorburn,thorburn,thorburn,,1818-01-01,dumfries and galloway,dg2 8nj,male,
Q18593464-10,Q18593464,bob,bob,bob,,,,,,
Q6793159-1,Q6793159,maurice greiffenhagen,maurice greiffenhagen,maurice,greiffenhagen,1862-12-15,greater london,se1 9bb,male,illustrator
Q6793159-2,Q6793159,maurice greiffenhagen,maurice greiffenhagen,maurice,greiffenhagen,1862-12-15,greater london,se1 9bb,male,painter
Q6793159-3,Q6793159,maurice greiffenhagen,maurice greiffenhagen,maurice,greiffenhagen,1862-12-15,southwark,se1 9bb,,illustrator
Q6793159-4,Q6793159,maurice greiffenhagen,maurice greiffenhagen,maurice,greiffenhagen,1862-12-15,greater london,se1 9bb,male,illustrator
Q6793159-5,Q6793159,maurice greiffenhagen,maurice greiffenhagen,maurice,greiffenhagen,1862-12-15,greater london,,male,painter
Q6793159-6,Q6793159,maurice greiffenhagen,maurice greiffenhagen,maurice,greiffenhagen,1862-12-75,,se1 9rq,male,
Q6793159-7,Q6793159,maurice greiffenhagen,maurice greiffenhagen,maurice,greiffenhagen,,greater london,se1 9bb,male,painter
Q6793159-8,Q6793159,maurice greiffenhagen,maurice greiffenhagen,maurice,greiffenhagen,,greater london,se1 9ra,,
Q6793159-9,Q6793159,maurice greiffenhagen,maurice greiffenhagen,maurice,greiffenhagen,1862-12-15,,,male,
Q6793159-10,Q6793159,maurice william greiffenhagen,maurice greiffenhagen,maurice,greiffenhagen,1862-12-75,greater london,,male,illustrator
Q6793159-11,Q6793159,maurice greiffenhagen,maurice greiffenhagen,maurice,greiffenhagen,1862-12-15,greater london,tn16 2jt,,illustrator
Q6793159-12,Q6793159,maurice greiffenhagen,maurice greiffenhagen,maurice,greiffenhagen,1861-12-15,,,,
Q5132907-1,Q5132907,clifford cory,clifford cory,clifford,cory,1859-04-10,tameside,m34 7lg,male,
Q5132907-2,Q5132907,clifford cory,clifford cory,clifford,cory,1859-04-18,tameside,m34 7lg,male,
Q5132907-3,Q5132907,sir jean cory,sir cory,sir,cory,1859-04-10,tameside,sk14 3ab,male,
Q5132907-4,Q5132907,cliff corrie,cliff corrie,cliff,corrie,,tameside,m34 7lg,male,
Q5132907-5,Q5132907,1st john corrie bt.,1st bt.,1st,bt.,,tameside,m34 7lg,male,
Q459764-1,Q459764,jessie penn-lewis,jessie penn-lewis,jessie,penn-lewis,1861-02-28,neath,sa10 8ba,female,author
Q459764-2,Q459764,jessie penn-lewis,jessie penn-lewis,jessie,penn-lewis,1861-02-28,neath,sa10 uba,female,author
Q459764-3,Q459764,janet betty jones penn-lewis,janet penn-lewis,janet,penn-lewis,1861-02-25,neath,sa10 8ba,female,
Q459764-4,Q459764,janet betty johns,janet johns,janet,johns,1861-02-28,neath,sa10 8ay,female,author
Q459764-5,Q459764,penn-lewis,penn-lewis,penn-lewis,,1861-02-28,neath,sa10 8ba,,author
Q4423153-1,Q4423153,william sly,william sly,william,sly,1501-01-01,bassetlaw,dn22 0dr,male,actor
Q4423153-2,Q4423153,william sly,william sly,william,sly,1501-07-01,bassetlaw,dn22 0dr,male,actor
Q4423153-3,Q4423153,william sly,william sly,william,sly,1501-01-01,bassetlaw,dn22 0dr,male,actor
Q4423153-4,Q4423153,william sly,william sly,william,sly,1501-01-01,bassetlaw,dn22 0dr,male,actor
Q4423153-5,Q4423153,william sly,william sly,william,sly,,,dn22 0dr,male,actor
Q4423153-6,Q4423153,william sly,william sly,william,sly,1501-01-01,bassetlaw,dn22 0dr,female,actor
Q4423153-7,Q4423153,willie sly,willie sly,willie,sly,1501-01-01,,dn22 0dr,male,
Q4423153-8,Q4423153,bill sly,bill sly,bill,sly,,bassetlaw,s45 8ar,,actor
Q4423153-9,Q4423153,william sly,william sly,william,sly,1501-01-01,bassetlaw,dn22 0dr,male,actor
Q4423153-10,Q4423153,william sly,william sly,william,sly,1501-01-01,bassetlaw,dn22 0dr,male,actor
Q4423153-11,Q4423153,will sly,will sly,will,sly,1501-01-01,bassetlaw,ng34 0aa,male,actor
Q4423153-12,Q4423153,willie sly,willie sly,willie,sly,,bassetlaw,,male,actor
Q4423153-13,Q4423153,willie sly,willie sly,willie,sly,1501-04-01,bassetlaw,,,
Q4423153-14,Q4423153,willie,willie,willie,,,,,male,actor
Q4423153-15,Q4423153,willie sly,willie sly,willie,sly,,,dn22 0dr,,
Q4423153-16,Q4423153,willie sly,willie sly,willie,sly,,,,,actor
Q4423153-17,Q4423153,willie sly,willie sly,willie,sly,,,,female,
Q5297449-1,Q5297449,dora wordsworth,dora wordsworth,dora,wordsworth,1804-08-16,richmond upon thames,tw11 9px,female,writer
Q5297449-2,Q5297449,dora wordsworth,dora wordsworth,dora,wordsworth,1804-08-16,richmond upon thames,tw11 9px,female,writer
Q5297449-3,Q5297449,dora wordsworth,dora wordsworth,dora,wordsworth,,richmond upon thames,,female,poet
Q5297449-4,Q5297449,quillinan,quillinan,quillinan,,1807-08-16,richmond upon thames,sw13 0hp,,
Q18527938-1,Q18527938,edith martineau,edith martineau,edith,martineau,1842-01-01,liverpool,l3 6js,female,painter
Q18527938-2,Q18527938,edit martineau,edit martineau,edit,martineau,1842-01-01,liverpool,l3 6js,female,painter
Q18527938-3,Q18527938,edit martineau,edit martineau,edit,martineau,1842-01-01,liverpool,l3 6js,female,painter
Q18527938-4,Q18527938,editn martineau,editn martineau,editn,martineau,,liverpool,l4 6js,female,
Q18527938-5,Q18527938,edit martineau,edit martineau,edit,martineau,1852-01-01,,l34 8he,,
Q18527938-6,Q18527938,edit martineau,edit martineau,edit,martineau,,,l3 6lg,,
Q6231904-1,Q6231904,john erskine,john erskine,john,erskine,1721-01-01,"bristol, city of",bs13 0da,male,author
Q6231904-2,Q6231904,john erskine,john erskine,john,erskine,1721-01-01,"bristol, city of",bs13 0da,male,author
Q6231904-3,Q6231904,john erskine,john erskine,john,erskine,1721-07-01,"bristol, city of",bs13 0da,male,author
Q6231904-4,Q6231904,john erskine,john erskine,john,erskine,1721-01-01,"bristol, city of",bs28 4jg,male,author
Q6231904-5,Q6231904,erskine,erskine,erskine,,1721-01-01,"bristol, city of",bs13 0da,male,
Q6231904-6,Q6231904,john d.d.,john d.d.,john,d.d.,1721-21-01,"bristol, city of",np26 3ff,male,author
Q6231904-7,Q6231904,reverend erskine,reverend erskine,reverend,erskine,1721-01-00,"bristol, city of",,male,
Q6231904-8,Q6231904,john d.d.,john d.d.,john,d.d.,1721-01-01,"bristol, city of",,male,
Q472639-1,Q472639,william jackson hooker,william hooker,william,hooker,1785-07-06,norwich,nr1 3bb,male,
Q472639-2,Q472639,william hooker,william hooker,william,hooker,1785-04-06,norwich,nr1 3bb,male,
Q472639-3,Q472639,sir hooker,sir hooker,sir,hooker,1785-07-06,norwich,nr1 3bb,male,
Q472639-4,Q472639,william hooker,william hooker,william,hooker,1785-07-06,norwich,nr1 3bb,male,
Q472639-5,Q472639,w.j. hooker,w.j. hooker,w.j.,hooker,1785-87-06,norwich,,female,
Q472639-6,Q472639,william hooker,william hooker,william,hooker,1785-07-06,norwich,nr1 3bb,,
Q472639-7,Q472639,sir william hooker,sir hooker,sir,hooker,1785-07-06,norwich,,male,
Q472639-8,Q472639,willie jackson hooker,willie hooker,willie,hooker,1785-07-06,norwich,nr1 2hn,male,
Q472639-9,Q472639,william jackson hooker,william hooker,william,hooker,1785-07-06,,nr18 9db,male,
Q472639-10,Q472639,william hooker,william hooker,william,hooker,1785-07-06,,,male,
Q472639-11,Q472639,sir willie hooker,sir hooker,sir,hooker,,norwich,,female,
Q472639-12,Q472639,w.j.,w.j.,w.j.,,,norwich,,,
Q449758-1,Q449758,may morris,may morris,may,morris,1862-03-25,red house,da7 4pa,female,
Q449758-2,Q449758,jay morris,jay morris,jay,morris,1862-03-25,red house,da7 4pa,female,
Q449758-3,Q449758,ma6 morris,ma6 morris,ma6,morris,1862-03-05,bexley,,,
Q3495067-1,Q3495067,ealdgyth,ealdgyth,ealdgyth,,0990-01-01,rugby,cv21 1lj,female,
Q3495067-2,Q3495067,ealdgyth,ealdgyth,ealdgyth,,0990-01-01,rugby,cv21 1lj,female,
Q3495067-3,Q3495067,ealdgyth,ealdgyth,ealdgyth,,,rugby,cv21 1lj,female,
Q3495067-4,Q3495067,ealdgyth,ealdgyth,ealdgyth,,0990-01-01,,cv33 9pu,female,
Q3495067-5,Q3495067,ealdgyth,ealdgyth,ealdgyth,,,rugby,cv21 1lj,female,
Q3495067-6,Q3495067,aldgyth,aldgyth,aldgyth,,0990-01-01,rugby,,female,
Q3495067-7,Q3495067,ealdgyth,ealdgyth,ealdgyth,,,rugby,,female,
Q3495067-8,Q3495067,edith,edith,edith,,0990-01-01,rugby,cv21 1lj,female,
Q6098180-1,Q6098180,j. hopper,j. hopper,j.,hopper,1790-01-01,trafford,wa15 7ne,male,cricketer
Q6098180-2,Q6098180,j. hopper,j. hopper,j.,hopper,1790-01-01,trafford,wa15 7ne,male,cricketer
Q6098180-3,Q6098180,j. hopper,j. hopper,j.,hopper,1790-01-01,trafford,,,cricketer
Q6098180-4,Q6098180,j. hopper,j. hopper,j.,hopper,1790-01-01,trafford,wa15 7ne,male,cricketer
Q6098180-5,Q6098180,j. hopper,j. hopper,j.,hopper,1790-01-01,trafford,wa15 7ne,,cricketer
Q6098180-6,Q6098180,j. hopper,j. hopper,j.,hopper,1790-01-01,trafford,sy4 4ba,,cricketer
Q6098180-7,Q6098180,j. hopper,j. hopper,j.,hopper,1790-01-01,trafford,,male,cricketer
Q6098180-8,Q6098180,james hopper,james hopper,james,hopper,1790-02-01,trafford,wa15 7ne,male,cricketer
Q6098180-9,Q6098180,james hopper,james hopper,james,hopper,1780-01-01,,wa15 7ne,male,cricketer
Q6098180-10,Q6098180,jacob hopper,jacob hopper,jacob,hopper,,trafford,,female,
Q6098180-11,Q6098180,jamie hopper,jamie hopper,jamie,hopper,1790-01-01,trafford,wa15 7ne,male,
Q6098180-12,Q6098180,james hopper,james hopper,james,hopper,1790-02-01,trafford,wa15 7nf,male,
Q4693039-1,Q4693039,agnes giberne,agnes giberne,agnes,giberne,1845-11-19,belgaum,ne1 4lp,female,novelist
Q4693039-2,Q4693039,agnes giberne,agnes giberne,agnes,giberne,1845-11-19,belgaum,ne1 4lp,female,novelist
Q4693039-3,Q4693039,agnes giberne,agnes giberne,agnes,giberne,1845-11-19,belgaum,ne1 4lp,female,novelist
Q4693039-4,Q4693039,agnes giberne,agnes giberne,agnes,giberne,1845-11-19,belgaum,ne4 5bw,,novelist
Q4693039-5,Q4693039,agnes giberne,agnes giberne,agnes,giberne,1845-71-19,belgaum,ne1 4lp,female,novelist
Q4693039-6,Q4693039,agnes giberne,agnes giberne,agnes,giberne,1845-11-19,belgaum,ne1 4lp,female,children's writer
Q4693039-7,Q4693039,agnes giberne,agnes giberne,agnes,giberne,,belgaum,ne1 4lp,female,children's writer
Q4693039-8,Q4693039,aggie giberne,aggie giberne,aggie,giberne,,belgaum,ne1 4lp,female,novelist
Q4693039-9,Q4693039,agnrs giberne,agnrs giberne,agnrs,giberne,,india,dh8 9jw,female,astronomer
Q4693039-10,Q4693039,agnes giberne,agnes giberne,agnes,giberne,1845-11-19,belgaum,ne1 4lp,female,novelist
Q4693039-11,Q4693039,agnes giberne,agnes giberne,agnes,giberne,,belgaum,,female,novelist
Q4693039-12,Q4693039,nessie giberne,nessie giberne,nessie,giberne,1845-11-19,belgaum,ne1 4lp,,novelist
Q4693039-13,Q4693039,nessie,nessie,nessie,,1845-11-19,,ne1 4lp,female,writer
Q4693039-14,Q4693039,agnes tiberne,agnes tiberne,agnes,tiberne,,belgaum,,female,writer
Q4693039-15,Q4693039,aggie giberne,aggie giberne,aggie,giberne,1845-11-19,belgaum,ne1 4lp,female,
Q4693039-16,Q4693039,nessie giberne,nessie giberne,nessie,giberne,1875-11-19,belgaum,ne1 4lp,,children's writer
Q28094247-1,Q28094247,richard halliwell,richard halliwell,richard,halliwell,1842-11-30,buckinghamshire,hp14 4ta,male,cricketer
Q28094247-2,Q28094247,richard halliwell,richard halliwell,richard,halliwell,1842-11-30,buckinghamshire,hp14 4ta,male,cricketer
Q28094247-3,Q28094247,richard halliwell,richard halliwell,richard,halliwell,1842-11-30,buckinghamshire,hp14 4ta,male,cricketer
Q28094247-4,Q28094247,richard halliwell,richard halliwell,richard,halliwell,1842-11-30,buckinghamshire,hp14 4ta,male,cricketer
Q28094247-5,Q28094247,richard halliwell,richard halliwell,richard,halliwell,1842-11-30,buckinghamshire,hp16 9lu,male,cricketer
Q28094247-6,Q28094247,richie halliwell,richie halliwell,richie,halliwell,,buckinghamshire,hp14 4ta,female,cricketer
Q28094247-7,Q28094247,richard halliwell,richard halliwell,richard,halliwell,1812-11-30,buckinghamshire,hp14 4ta,male,cricketer
Q28094247-8,Q28094247,richard galliwell,richard galliwell,richard,galliwell,1842-11-30,buckinghamshire,hp14 4ta,male,cricketer
Q28094247-9,Q28094247,richard halliwell,richard halliwell,richard,halliwell,1842-11-30,buckinghamshire,hp14 4ta,male,cricketer
Q28094247-10,Q28094247,richard halliwell,richard halliwell,richard,halliwell,,buckinghamshire,,male,
Q28094247-11,Q28094247,richard halliwell,richard halliwell,richard,halliwell,,hughenden,,female,cricketer
Q28094247-12,Q28094247,richard hzlliwell,richard hzlliwell,richard,hzlliwell,1842-11-30,buckinghamshire,hp14 4ta,male,cricketer
Q28094247-13,Q28094247,rick halliwell,rick halliwell,rick,halliwell,1842-11-30,buckinghamshire,hp14 4ta,male,
Q28094247-14,Q28094247,rich halliwell,rich halliwell,rich,halliwell,,buckinghamshire,hp14 4ta,male,cricketer
Q28094247-15,Q28094247,rickey halliwell,rickey halliwell,rickey,halliwell,1842-11-30,hughenden,hp27 0ny,,
Q28094247-16,Q28094247,ricki halliwell,ricki halliwell,ricki,halliwell,,,hp27 0ny,,cricketer
Q28094247-17,Q28094247,richarf,richarf,richarf,,1842-10-30,hughenden,hp14 4td,male,cricketer
Q28094247-18,Q28094247,richie halliwell,richie halliwell,richie,halliwell,,,,,
Q16059791-1,Q16059791,george augustus löhr,george löhr,george,löhr,1821-04-20,birmingham,b3 2rt,male,composer
Q16059791-2,Q16059791,georgina löhr,georgina löhr,georgina,löhr,1821-04-20,birmingham,b3 2rt,male,composer
Q16059791-3,Q16059791,georgia löhr,georgia löhr,georgia,löhr,1821-24-20,,b3 2rt,male,
Q16059791-4,Q16059791,georgina löhr,georgina löhr,georgina,löhr,,birmingham,,male,composer
Q28935241-1,Q28935241,william collyer,william collyer,william,collyer,1842-01-11,camberwell,se5 8bb,male,cricketer
Q28935241-2,Q28935241,william collyer,william collyer,william,collyer,1842-01-11,camberwell,se5 8bb,male,cricketer
Q28935241-3,Q28935241,william collyer,william collyer,william,collyer,1842-01-11,camberwell,se5 8bb,male,cricketer
Q28935241-4,Q28935241,will collier,will collier,will,collier,1845-01-11,camberwell,se5 8bb,male,cricketer
Q28935241-5,Q28935241,william collyer,william collyer,william,collyer,1842-01-11,camberwell,se5 8sl,male,cricketer
Q28935241-6,Q28935241,willie collyer,willie collyer,willie,collyer,1842-01-11,southwark,se5 8aq,,cricketer
Q28935241-7,Q28935241,william collyer,william collyer,william,collyer,1842-01-11,,cm16 5ja,male,
Q28935241-8,Q28935241,william collyer,william collyer,william,collyer,1842-01-11,camberwell,se5 8bb,male,
Q28935241-9,Q28935241,william coolyer,william coolyer,william,coolyer,1872-01-11,camberwell,se5 8bb,male,cricketer
Q28935241-10,Q28935241,will collier,will collier,will,collier,1842-01-11,camberwell,se5 8bb,,cricketer
Q28935241-11,Q28935241,gwilym collier,gwilym collier,gwilym,collier,,southwark,se5 8bb,,
Q28935241-12,Q28935241,williwm collyer,williwm collyer,williwm,collyer,,,se5 8bb,male,
Q28935241-13,Q28935241,williams collier,williams collier,williams,collier,1841-01-11,camberwell,cm16 5ja,male,cricketer
Q28935241-14,Q28935241,william collyer,william collyer,william,collyer,,,,male,
Q28935241-15,Q28935241,william collyer,william collyer,william,collyer,,southwark,cm16 5ja,male,cricketer
Q28935241-16,Q28935241,willie collier,willie collier,willie,collier,,,se5 8bb,male,
Q28935241-17,Q28935241,wioliam collyer,wioliam collyer,wioliam,collyer,1842-01-11,,se5 8bb,,
Q28935241-18,Q28935241,willian collyer,willian collyer,willian,collyer,,southwark,cm16 5ja,,
Q8015983-1,Q8015983,william mynors,william mynors,william,mynors,1550-01-01,central bedfordshire,sg19 1nz,male,explorer
Q8015983-2,Q8015983,william mynors,william mynors,william,mynors,1550-01-01,sandy,sg18 8yy,male,explorer
Q8015983-3,Q8015983,willie mynors,willie mynors,willie,mynors,1550-01-01,sandy,sg19 1nz,male,
Q2878295-1,Q2878295,james elphinston,james elphinston,james,elphinston,1721-12-06,edinburgh,eh1 2jy,male,
Q2878295-2,Q2878295,james elphinston,james elphinston,james,elphinston,1721-12-06,edinburgh,eh1 2jy,male,
Q2878295-3,Q2878295,james elphinston,james elphinston,james,elphinston,1721-12-06,edinburgh,eh1 2jy,male,
Q2878295-4,Q2878295,james elphinston,james elphinston,james,elphinston,1721-12-06,city of edinburgh,eh1 2jy,male,
Q2878295-5,Q2878295,james elphinston,james elphinston,james,elphinston,1721-12-06,edinburgh,eh1 2jy,male,
Q2878295-6,Q2878295,james elphinston,james elphinston,james,elphinston,,,eh1 2af,male,
Q2878295-7,Q2878295,james elphinston,james elphinston,james,elphinston,,edinburgh,eh1 2jy,male,
Q2878295-8,Q2878295,jamie elphinston,jamie elphinston,jamie,elphinston,1721-12-06,city of edinburgh,eh1 2jy,,
Q2878295-9,Q2878295,james elphinston,james elphinston,james,elphinston,1721-12-06,edinburgh,eh1 2ap,,
Q2878295-10,Q2878295,jamie elphinston,jamie elphinston,jamie,elphinston,1721-12-06,edinburgh,eh1 2jy,male,
Q2878295-11,Q2878295,jacob elphinston,jacob elphinston,jacob,elphinston,1721-12-06,edinburgh,eh1 2jy,,
Q2878295-12,Q2878295,james eophinston,james eophinston,james,eophinston,1721-12-86,edinburgh,eh3 8an,male,
Q2878295-13,Q2878295,james elphinston,james elphinston,james,elphinston,1721-12-06,edinburgh,,,
Q2878295-14,Q2878295,jacob elphinston,jacob elphinston,jacob,elphinston,,edinburgh,,male,
Q2878295-15,Q2878295,james elphinston,james elphinston,james,elphinston,1721-12-16,,eh1 2jy,,
Q2878295-16,Q2878295,yakub elphinston,yakub elphinston,yakub,elphinston,1721-12-06,edinburgh,,,
Q2878295-17,Q2878295,james elphinston,james elphinston,james,elphinston,,edinburgh,,,
Q2878295-18,Q2878295,elphinston,elphinston,elphinston,,,,eh1 2jy,,
Q2878295-19,Q2878295,james,james,james,,1721-12-06,city of edinburgh,eh4 5ep,female,
Q2878295-20,Q2878295,jacob elphinston,jacob elphinston,jacob,elphinston,1721-42-06,,,,
Q2878295-21,Q2878295,elphinston,elphinston,elphinston,,,city of edinburgh,,male,
Q14623869-1,Q14623869,m. abbeyson,m. abbeyson,m.,abbeyson,1800-01-01,west northamptonshire,nn3 3dw,male,painter
Q14623869-2,Q14623869,m. abbeyson,m. abbeyson,m.,abbeyson,1800-01-01,west northamptonshire,nn3 3dw,male,painter
Q14623869-3,Q14623869,m. abbeyson,m. abbeyson,m.,abbeyson,1800-01-01,west northamptonshire,nn3 3dw,male,painter
Q14623869-4,Q14623869,agbeyson,agbeyson,agbeyson,,1800-01-01,west northamptonshire,nn3 3dw,male,painter
Q14623869-5,Q14623869,m. abbeyson,m. abbeyson,m.,abbeyson,1800-01-07,west northamptonshire,nn3 3dw,male,painter
Q14623869-6,Q14623869,m. abbeyson,m. abbeyson,m.,abbeyson,1800-01-01,west northamptonshire,nn3 3dw,male,painter
Q14623869-7,Q14623869,m. abbeyson,m. abbeyson,m.,abbeyson,,west northamptonshire,nn3 3dw,male,painter
Q14623869-8,Q14623869,abheyson,abheyson,abheyson,,1800-01-01,,nn3 3dw,male,painter
Q14623869-9,Q14623869,abbeysom,abbeysom,abbeysom,,1800-01-01,west northamptonshire,,male,painter
Q14623869-10,Q14623869,,,,,1800-07-01,west northamptonshire,nn3 3dw,male,painter
Q14623869-11,Q14623869,abb4yson,abb4yson,abb4yson,,1800-01-01,west northamptonshire,le7 3sr,,painter
Q14623869-12,Q14623869,m. abbeyson,m. abbeyson,m.,abbeyson,1800-01-01,west northamptonshire,nn3 3dw,male,painter
Q14623869-13,Q14623869,qbbeyson,qbbeyson,qbbeyson,,1800-01-01,west northamptonshire,nn3 3dw,male,
Q14623869-14,Q14623869,abbeysom,abbeysom,abbeysom,,1800-01-01,west northamptonshire,nn3 3dw,,
Q14623869-15,Q14623869,abbwyson,abbwyson,abbwyson,,,,,male,painter
Q14623869-16,Q14623869,sbbeyson,sbbeyson,sbbeyson,,1800-81-01,west northamptonshire,,male,
Q14623869-17,Q14623869,m. abbeyson,m. abbeyson,m.,abbeyson,,northampton,,male,
